id,product_id,type,value,label,is_available
4e6a3a75-1577-448e-b594-400aa156e40c,d69f2878-5a90-4fac-b137-bea0c346c64f,size,36,36,true
c687da8e-934e-4356-91fa-7fe0372d75ae,d69f2878-5a90-4fac-b137-bea0c346c64f,size,38,38,true
772aa229-48bf-4025-93dc-acbf00456bcf,d69f2878-5a90-4fac-b137-bea0c346c64f,size,40,40,true
e00b2c6f-421d-4520-bcde-9d96504d7c28,d69f2878-5a90-4fac-b137-bea0c346c64f,size,42,42,true
5433dfdd-13f4-471a-83c3-c667844643bc,d69f2878-5a90-4fac-b137-bea0c346c64f,size,44,44,true
6a3580ce-4d1a-4ec3-a6a1-db04b79d9b7e,d69f2878-5a90-4fac-b137-bea0c346c64f,size,46,46,true
4b415c73-2834-4f54-9ec4-079ac395068b,d69f2878-5a90-4fac-b137-bea0c346c64f,size,48,48,true
f4f4b22d-b926-4328-8d34-3c22676942fd,f269bfe5-55b6-48f1-bd58-e83869d14d81,color,#F0EBE0,Ivoire,true
61a08526-d807-4997-a899-457233fa9c7e,f269bfe5-55b6-48f1-bd58-e83869d14d81,color,#FFFFFF,Blanc,true
410cdf4e-109e-4e8c-becf-05680f47a72e,f269bfe5-55b6-48f1-bd58-e83869d14d81,color,#D4B896,Beige,true
4fd63985-493e-42cb-b88d-6a9ff0989a13,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,36,36,true
a59024af-acdd-4317-9194-4d9b09c88e32,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,38,38,true
c7e91921-8292-42cc-aabc-49971bbac61b,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,40,40,true
369c88f9-c060-4b2c-96b9-878f107ff065,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,42,42,true
d085685c-6fcd-4670-9183-daf50664a005,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,44,44,true
3f78918c-19dc-43e0-ad2c-0e949a23edb2,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,46,46,true
a02e82ca-4795-4fd0-ac84-a4ebaa217e2b,f269bfe5-55b6-48f1-bd58-e83869d14d81,size,48,48,true
a4437498-4330-4a14-9780-5d815d2164f2,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,36,36,true
a265a3d5-e52f-4207-ac7c-662fec094fb2,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,38,38,true
8b96af94-c2f7-4035-8bc5-ad1942135e38,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,40,40,true
e65a00c4-e7fc-4ffb-b7d5-6c33247c364b,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,size,36,36,true
7625e49d-a570-4511-8d6c-ada3d377f5a2,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,size,38,38,true
ef52bb4c-193b-4357-b9ff-1076555a5b5b,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,size,40,40,true
30651be3-3681-4261-a59c-b356d955b14d,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,size,42,42,true
b15a1a1d-a976-410d-ade8-9131e3143f1d,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,size,44,44,true
48dce9d0-3462-4150-88db-13bd24a38c8f,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,size,46,46,true
d57df2fe-3513-420e-9d59-f0cc7c6db64d,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,36,36,true
bde8c210-688c-4d66-83d0-6779de46a5e2,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,38,38,true
b50cfd05-2a01-4970-a425-6e00daac9f15,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,40,40,true
567081e4-de0a-442c-8127-e6055e2ddfe7,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,42,42,true
826f6e15-22ed-4324-b405-f69b26908348,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,44,44,true
