id,name_fr,name_ar,category,subcategory,description_fr,description_ar,price,original_price,on_sale,tissu,featured,is_new,in_stock,stock_count,is_visible,created_at,updated_at
130f367f-3480-475b-ac7a-4c1dea1ce95c,"EL’HUR ",الحُور,caftans,null,,,19900.00,,false,null,false,true,true,10,true,2026-03-10 21:47:46.112709+00,2026-04-03 00:16:28.998963+00
2700725c-5e98-43c0-b5b0-f148cc9ed33a,HAREER,,caftans,null,"قفطان أنيق يجمع بين الفخامة والبساطة، بقماش ناعم وتطريز راقٍ. يأتي مع حزام من القماش بعرض 8 سم يمنحك إطلالة متناسقة وجذابة.Caftan élégant alliant simplicité et raffinement, avec un tissu doux et des finitions brodées. Doté d’une ceinture de 8 cm pour une allure harmonieuse.",قفطان أنيق يجمع بين الفخامة والبساطة، بقماش ناعم وتطريز راقٍ. يأتي مع حزام من القماش بعرض 8 سم يمنحك إطلالة متناسقة وجذابة.,16900.00,,false,null,false,true,true,10,true,2026-03-10 22:12:18.13234+00,2026-04-03 00:18:39.631944+00
276d6a5b-c157-41ff-ad75-571c49493e36,ROSA,زَهرة,caftans,null,"قفطان بتصميم أنثوي راقٍ، مصنوع من قماش مريح وعالي الجودة مع تطريز ناعم. مرفق بحزام بعرض 8 سم لإطلالة أنيقة ومتوازنة.
Caftan au design féminin et raffiné, confectionné dans un tissu confortable avec des détails brodés. Accompagné d’une ceinture de 8 cm pour une silhouette élégante.",قفطان بتصميم أنثوي راقٍ، مصنوع من قماش مريح وعالي الجودة مع تطريز ناعم. مرفق بحزام بعرض 8 سم لإطلالة أنيقة ومتوازنة.,17900.00,,false,null,false,true,true,0,true,2026-03-10 22:10:00.903771+00,2026-04-23 18:10:57.278979+00
4317729a-38f9-4df3-999f-ec671b886770,"SILVER RADIANCE ",,sacs,,,,2900.00,,false,,false,true,true,10,true,2026-04-02 17:37:02.347987+00,2026-04-02 17:37:02.347987+00
4d73c702-3405-4827-9966-ab564134c71b,LOVE,حُب,caftans,null,,,17900.00,,false,null,false,true,true,10,true,2026-03-10 21:34:20.345511+00,2026-04-09 19:31:55.925282+00
53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,RYM,ريم,caftans,null,"قفطان أنيق يجمع بين الفخامة والبساطة، بقماش ناعم وتطريز راقٍ. يأتي مع حزام من القماش بعرض 8 سم يمنحك إطلالة متناسقة وجذابة.Caftan élégant alliant simplicité et raffinement, avec un tissu doux et des finitions brodées. Doté d’une ceinture de 8 cm pour une allure harmonieuse.",قفطان أنيق يجمع بين الفخامة والبساطة، بقماش ناعم وتطريز راقٍ. يأتي مع حزام من القماش بعرض 8 سم يمنحك إطلالة متناسقة وجذابة.,13900.00,,false,null,false,true,true,10,true,2026-03-10 21:53:23.698974+00,2026-04-03 00:15:08.622064+00
617b873d-4aaf-42d1-8a8a-6fff2a21ec78,CRYSTAL ÉCLAT,,sacs,,,,4900.00,,false,,false,true,true,10,true,2026-04-02 17:33:35.635616+00,2026-04-02 17:33:35.635616+00
648a1268-d0c5-4fac-adfb-2c1d3ed63d88,WERD,ورد,caftans,null,"
قفطان أنيق بتصميم راقٍ ولمسة عصرية، يتكون من قطعتين : قطعة داخلية بقماش صاتان ايطالي نوعية الجيدة ، وقطعة دونتال . يأتي مع حزام من نفس القماش بعرض 8 سم، يبرز جمال القوام بشكل أنيق. مثالي للمناسبات، الأعراس، والسهرات، ليمنحك حضورًا مميزًا وإطلالة لا تُنسى.",قفطان أنيق بتصميم راقٍ ولمسة عصرية، يتكون من قطعتين : قطعة داخلية بقماش صاتان ايطالي نوعية الجيدة ، وقطعة دونتال . يأتي مع حزام من نفس القماش بعرض 8 سم، يبرز جمال القوام بشكل أنيق. مثالي للمناسبات، الأعراس، والسهرات، ليمنحك حضورًا مميزًا وإطلالة لا تُنسى.,19900.00,,false,null,false,true,true,10,true,2026-04-04 18:58:42.23029+00,2026-04-04 19:07:19.971811+00
811fe3e6-20cf-471f-a45d-4b3d142528f7,LORA,,accessoires,null,,,2500.00,,false,null,false,true,true,10,true,2026-03-10 22:56:14.337252+00,2026-04-09 16:29:29.076091+00
9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,"L A Y A L I ",,caftans,null,"قفطان أنيق بلونين أبيض وأسود، مزين بتطريز ذهبي فاخر ولمسات دانتيل ناعمة. تصميم يجمع بين الفخامة والأنوثة، مثالي للمناسبات والإطلالات الراقية ✨Caftan élégant en blanc/noir, orné de broderies dorées et de délicates touches de dentelle. Un modèle qui allie luxe et féminité, idéal pour vos occasions spéciales ✨",قفطان أنيق بلونين أبيض وأسود، مزين بتطريز ذهبي فاخر ولمسات دانتيل ناعمة. تصميم يجمع بين الفخامة والأنوثة، مثالي للمناسبات والإطلالات الراقية ✨,28000.00,28900.00,true,null,true,true,true,10,true,2026-05-01 21:03:29.053564+00,2026-05-01 23:37:38.953966+00
9ac14466-4097-4bcb-9fa7-0c602d61c754,V O I L E,,caftans,null,,,2800.00,,true,null,true,true,true,10,true,2026-05-03 14:39:38.983475+00,2026-05-05 17:15:50.679082+00
ae637e07-2c9a-4a97-af69-49d67bbe91a8,"CEINTURES DORÉES ",,accessoires,null,"
مناسبة لقفطانك تزيده إطلالة أنيقة وفخامة
خلي قفطانك يبان أفخم ✨
متوفرة بعدة موديلات
 ","
مناسبة لقفطانك تزيده إطلالة أنيقة وفخامة
خلي قفطانك يبان أفخم ✨
متوفرة بعدة موديلات ",1200.00,,false,null,false,true,true,10,true,2026-04-04 18:09:23.545561+00,2026-05-08 11:23:48.259285+00
bcfc02fa-8997-4d14-9b22-f0c6c29d8327,DÉNA,,accessoires,null,,,2500.00,2500.00,false,null,false,true,true,5,true,2026-03-10 22:56:54.019908+00,2026-03-27 01:43:19.854621+00
c5f1d113-7567-44f3-8a9b-f8ced96b0087,EHSAS,EHSAS,caftans,null,"Caftan élégant alliant simplicité et raffinement, avec un tissu doux et des finitions brodées. Doté d’une ceinture de 8 cm pour une allure harmonieuse.
قفطان أنيق يجمع بين الفخامة والبساطة، بقماش ناعم وتطريز راقٍ. يأتي مع حزام من القماش بعرض 8 سم يمنحك إطلالة متناسقة وجذابة.","قفطان أنيق يجمع بين الفخامة والبساطة، بقماش ناعم وتطريز راقٍ. يأتي مع حزام من القماش بعرض 8 سم يمنحك إطلالة متناسقة وجذابة.
Caftan élégant alliant simplicité et raffinement, avec un tissu doux et des finitions brodées. Doté d’une ceinture de 8 cm pour une allure harmonieuse.",17900.00,,false,null,false,true,true,10,true,2026-04-19 19:11:46.584432+00,2026-04-19 19:15:01.92192+00
d69f2878-5a90-4fac-b137-bea0c346c64f,ZEHRA,زَهرة,caftans,null,"قفطان بتصميم أنثوي راقٍ، مصنوع من قماش مريح وعالي الجودة مع تطريز ناعم. مرفق بحزام بعرض 8 سم لإطلالة أنيقة ومتوازنة.Caftan au design féminin et raffiné, confectionné dans un tissu confortable avec des détails brodés. Accompagné d’une ceinture de 8 cm pour une silhouette élégante.",قفطان بتصميم أنثوي راقٍ، مصنوع من قماش مريح وعالي الجودة مع تطريز ناعم. مرفق بحزام بعرض 8 سم لإطلالة أنيقة ومتوازنة.,17900.00,,false,null,false,true,true,0,true,2026-03-10 22:01:33.490223+00,2026-04-23 18:10:38.394034+00
