wilaya,zone,tarif_domicile,tarif_stopdesk,tarif_retour,created_at
M'Sila,0,500,400,250,2026-03-11 23:45:14.761215+00
Batna,1,550,450,250,2026-03-11 23:45:14.761215+00
Bouira,1,550,450,250,2026-03-11 23:45:14.761215+00
Alger,1,550,450,250,2026-03-11 23:45:14.761215+00
Sétif,1,550,450,250,2026-03-11 23:45:14.761215+00
Médéa,1,550,450,250,2026-03-11 23:45:14.761215+00
Bordj Bou Arréridj,1,550,450,250,2026-03-11 23:45:14.761215+00
Chlef,2,700,600,250,2026-03-11 23:45:14.761215+00
Oum El Bouaghi,2,700,600,250,2026-03-11 23:45:14.761215+00
Béjaïa,2,700,600,250,2026-03-11 23:45:14.761215+00
Biskra,2,700,600,250,2026-03-11 23:45:14.761215+00
Blida,2,700,600,250,2026-03-11 23:45:14.761215+00
Tlemcen,2,700,600,250,2026-03-11 23:45:14.761215+00
Tiaret,2,700,600,250,2026-03-11 23:45:14.761215+00
Tizi Ouzou,2,700,600,250,2026-03-11 23:45:14.761215+00
Djelfa,2,700,600,250,2026-03-11 23:45:14.761215+00
Jijel,2,700,600,250,2026-03-11 23:45:14.761215+00
Saïda,2,700,600,250,2026-03-11 23:45:14.761215+00
Skikda,2,700,600,250,2026-03-11 23:45:14.761215+00
Sidi Bel Abbès,2,700,600,250,2026-03-11 23:45:14.761215+00
Annaba,2,700,600,250,2026-03-11 23:45:14.761215+00
Guelma,2,700,600,250,2026-03-11 23:45:14.761215+00
Constantine,2,700,600,250,2026-03-11 23:45:14.761215+00
Mostaganem,2,700,600,250,2026-03-11 23:45:14.761215+00
Mascara,2,700,600,250,2026-03-11 23:45:14.761215+00
Oran,2,700,600,250,2026-03-11 23:45:14.761215+00
Boumerdès,2,700,600,250,2026-03-11 23:45:14.761215+00
El Tarf,2,700,600,250,2026-03-11 23:45:14.761215+00
Tissemsilt,2,700,600,250,2026-03-11 23:45:14.761215+00
Khenchela,2,700,600,250,2026-03-11 23:45:14.761215+00
Souk Ahras,2,700,600,250,2026-03-11 23:45:14.761215+00
Tipaza,2,700,600,250,2026-03-11 23:45:14.761215+00
Mila,2,700,600,250,2026-03-11 23:45:14.761215+00
Aïn Defla,2,700,600,250,2026-03-11 23:45:14.761215+00
Aïn Témouchent,2,700,600,250,2026-03-11 23:45:14.761215+00
Relizane,2,700,600,250,2026-03-11 23:45:14.761215+00
Laghouat,3,850,700,250,2026-03-11 23:45:14.761215+00
Tébessa,3,850,700,250,2026-03-11 23:45:14.761215+00
Ouargla,3,850,700,250,2026-03-11 23:45:14.761215+00
El Oued,3,850,700,250,2026-03-11 23:45:14.761215+00
Ghardaïa,3,850,700,250,2026-03-11 23:45:14.761215+00
Adrar,4,1650,1550,250,2026-03-11 23:45:14.761215+00
Béchar,4,1650,1550,250,2026-03-11 23:45:14.761215+00
El Bayadh,4,1650,1550,250,2026-03-11 23:45:14.761215+00
Naâma,4,1650,1550,250,2026-03-11 23:45:14.761215+00
Tamanrasset,5,1650,1550,250,2026-03-11 23:45:14.761215+00
Illizi,5,1650,1550,250,2026-03-11 23:45:14.761215+00
Tindouf,5,1650,1550,250,2026-03-11 23:45:14.761215+00
Timimoun,4,1650,1550,250,2026-03-11 23:45:14.761215+00
Bordj Badji Mokhtar,5,1650,1550,250,2026-03-11 23:45:14.761215+00
Ouled Djellal,3,850,700,250,2026-03-11 23:45:14.761215+00
Béni Abbès,4,1650,1550,250,2026-03-11 23:45:14.761215+00
In Salah,5,1650,1550,250,2026-03-11 23:45:14.761215+00
In Guezzam,5,1650,1550,250,2026-03-11 23:45:14.761215+00
Touggourt,3,850,700,250,2026-03-11 23:45:14.761215+00
Djanet,5,1650,1550,250,2026-03-11 23:45:14.761215+00
El M'Ghair,3,850,700,250,2026-03-11 23:45:14.761215+00
El Meniaa,3,850,700,250,2026-03-11 23:45:14.761215+00
